"iden"	"k"	"D"	"call.sag"	"call.gm"	"ppv"
"is.gm"	38	1	3	31	145855	0.994219613777496
"is.sag"	39	1	3	137	863	0.845679012345679
"is.gm"	39	1	3	25	145861	0.994118208336741
"is.sag"	40	1	3	129	871	0.843137254901961
"is.gm"	40	1	3	24	145862	0.994064048305425
"is.sag"	15	2	3	996	4	0.248193371542487
"is.gm"	15	2	3	3017	142869	0.999972003107655
"is.sag"	16	2	3	996	4	0.249624060150376
"is.gm"	16	2	3	2994	142892	0.999972007613929
"is.sag"	17	2	3	983	17	0.26410531972058
"is.gm"	17	2	3	2739	143147	0.999881255064122
"is.sag"	18	2	3	955	45	0.321657123610643
"is.gm"	18	2	3	2014	143872	0.999687319774592
"is.sag"	19	2	3	800	200	0.413009808982963
"is.gm"	19	2	3	1137	144749	0.998620204347736
"is.sag"	20	2	3	605	395	0.509259259259259
"is.gm"	20	2	3	583	145303	0.997288912682398
"is.sag"	21	2	3	460	540	0.616621983914209
"is.gm"	21	2	3	286	145600	0.99630491309703
"is.sag"	22	2	3	405	595	0.678391959798995
"is.gm"	22	2	3	192	145694	0.995932708542679
"is.sag"	23	2	3	376	624	0.725868725868726
"is.gm"	23	2	3	142	145744	0.995736773065151
"is.sag"	24	2	3	342	658	0.758314855875831
"is.gm"	24	2	3	109	145777	0.995506538737324
"is.sag"	25	2	3	339	661	0.78110599078341
"is.gm"	25	2	3	95	145791	0.995486575806408
"is.sag"	26	2	3	330	670	0.783847980997625
"is.gm"	26	2	3	91	145795	0.995425528283208
"is.sag"	27	2	3	312	688	0.785894206549118
"is.gm"	27	2	3	85	145801	0.995303401620599
"is.sag"	28	2	3	304	696	0.793733681462141
"is.gm"	28	2	3	79	145807	0.995249244042784
"is.sag"	29	2	3	301	699	0.800531914893617
"is.gm"	29	2	3	75	145811	0.995228994607877
"is.sag"	30	2	3	254	746	0.79874213836478
"is.gm"	30	2	3	64	145822	0.994910212324655
"is.sag"	31	2	3	246	754	0.796116504854369
"is.gm"	31	2	3	63	145823	0.994855946021545
"is.sag"	32	2	3	241	759	0.808724832214765
"is.gm"	32	2	3	57	145829	0.994822222828608
"is.sag"	33	2	3	214	786	0.810606060606061
"is.gm"	33	2	3	50	145836	0.994639276506936
"is.sag"	34	2	3	206	794	0.814229249011858
"is.gm"	34	2	3	47	145839	0.994585120675428
"is.sag"	35	2	3	192	808	0.810126582278481
"is.gm"	35	2	3	45	145841	0.994490245415925
"is.sag"	36	2	3	170	830	0.821256038647343
"is.gm"	36	2	3	37	145849	0.994341384928995
"is.sag"	37	2	3	158	842	0.814432989690722
"is.gm"	37	2	3	36	145850	0.994260082349412
"is.sag"	38	2	3	155	845	0.82010582010582
"is.gm"	38	2	3	34	145852	0.994239827672004
"is.sag"	39	2	3	140	860	0.833333333333333
"is.gm"	39	2	3	28	145858	0.994138415191047
"is.sag"	40	2	3	132	868	0.830188679245283
"is.gm"	40	2	3	27	145859	0.994084251705548
